"0010","Ziraat Bankası"
"0012","Halk Bankası"
"0015","Vakıf Bankası"
"0032","T.E.B."
"0046","Akbank"
"0056","Fortis"
"0059","Şekerbank"
"0062","Garanti Bankası"
"0064","İş Bankası"
"0067","Yapı Kredi"
"0071","Dış Ticaret Bankası"
"0092","Citibank"
"0096","TurkishBank"
"0099","Oyakbank"
"0103","Bankeuropa"
"0108","Turkland Bank"
"0109","Tesktil Bank"
"0111","Finansbank"
"0123","HSBC"
"0125","Tekfen Bank"
"0134","Denizbank"
"0135","AnadoluBank"
"0203","Albaraka Türk"
"0204","Family Finans"
"0205","Kuveyt Türk"
"0208","Asya Finans"
"0900","AKK Turizm"
